Structure,Operation,Position,Time,ElementCount
DynamicArray,Insert,Beginning,0.000002,100
DynamicArray,Insert,Middle,0.000002,100
DynamicArray,Insert,End,0.000002,100
DynamicArray,Delete,Beginning,0.000002,100
DynamicArray,Delete,Middle,0.000002,100
DynamicArray,Delete,End,0.000002,100
DynamicArray,Search,N/A,0.000003,100
SingleLinkedList,Insert,Beginning,0.000002,100
SingleLinkedList,Insert,Middle,0.000002,100
SingleLinkedList,Insert,End,0.000002,100
SingleLinkedList,Delete,Beginning,0.000002,100
SingleLinkedList,Delete,Middle,0.000002,100
SingleLinkedList,Delete,End,0.000002,100
SingleLinkedList,Search,N/A,0.000003,100
DoubleLinkedList,Insert,Beginning,0.000002,100
DoubleLinkedList,Insert,Middle,0.000002,100
DoubleLinkedList,Insert,End,0.000003,100
DoubleLinkedList,Delete,Beginning,0.000002,100
DoubleLinkedList,Delete,Middle,0.000002,100
DoubleLinkedList,Delete,End,0.000003,100
DoubleLinkedList,Search,N/A,0.000003,100
DoubleLinkedListWithTail,Insert,Beginning,0.000002,100
DoubleLinkedListWithTail,Insert,Middle,0.000002,100
DoubleLinkedListWithTail,Insert,End,0.000002,100
DoubleLinkedListWithTail,Delete,Beginning,0.000002,100
DoubleLinkedListWithTail,Delete,Middle,0.000002,100
DoubleLinkedListWithTail,Delete,End,0.000002,100
DoubleLinkedListWithTail,Search,N/A,0.000003,100
DynamicArray,Insert,Beginning,0.000002,1000
DynamicArray,Insert,Middle,0.000002,1000
DynamicArray,Insert,End,0.000002,1000
DynamicArray,Delete,Beginning,0.000002,1000
DynamicArray,Delete,Middle,0.000002,1000
DynamicArray,Delete,End,0.000002,1000
DynamicArray,Search,N/A,0.000016,1000
SingleLinkedList,Insert,Beginning,0.000001,1000
SingleLinkedList,Insert,Middle,0.000003,1000
SingleLinkedList,Insert,End,0.000001,1000
SingleLinkedList,Delete,Beginning,0.000001,1000
SingleLinkedList,Delete,Middle,0.000003,1000
SingleLinkedList,Delete,End,0.000004,1000
SingleLinkedList,Search,N/A,0.000004,1000
DoubleLinkedList,Insert,Beginning,0.000001,1000
DoubleLinkedList,Insert,Middle,0.000002,1000
DoubleLinkedList,Insert,End,0.000005,1000
DoubleLinkedList,Delete,Beginning,0.000001,1000
DoubleLinkedList,Delete,Middle,0.000002,1000
DoubleLinkedList,Delete,End,0.000005,1000
DoubleLinkedList,Search,N/A,0.000004,1000
DoubleLinkedListWithTail,Insert,Beginning,0.000001,1000
DoubleLinkedListWithTail,Insert,Middle,0.000002,1000
DoubleLinkedListWithTail,Insert,End,0.000001,1000
DoubleLinkedListWithTail,Delete,Beginning,0.000001,1000
DoubleLinkedListWithTail,Delete,Middle,0.000002,1000
DoubleLinkedListWithTail,Delete,End,0.000000,1000
DoubleLinkedListWithTail,Search,N/A,0.000004,1000
DynamicArray,Insert,Beginning,0.000001,10000
DynamicArray,Insert,Middle,0.000001,10000
DynamicArray,Insert,End,0.000001,10000
DynamicArray,Delete,Beginning,0.000001,10000
DynamicArray,Delete,Middle,0.000001,10000
DynamicArray,Delete,End,0.000001,10000
DynamicArray,Search,N/A,0.000044,10000
SingleLinkedList,Insert,Beginning,0.000001,10000
SingleLinkedList,Insert,Middle,0.000015,10000
SingleLinkedList,Insert,End,0.000001,10000
SingleLinkedList,Delete,Beginning,0.000001,10000
SingleLinkedList,Delete,Middle,0.000015,10000
SingleLinkedList,Delete,End,0.000030,10000
SingleLinkedList,Search,N/A,0.000037,10000
DoubleLinkedList,Insert,Beginning,0.000001,10000
DoubleLinkedList,Insert,Middle,0.000022,10000
DoubleLinkedList,Insert,End,0.000055,10000
DoubleLinkedList,Delete,Beginning,0.000001,10000
DoubleLinkedList,Delete,Middle,0.000025,10000
DoubleLinkedList,Delete,End,0.000059,10000
DoubleLinkedList,Search,N/A,0.000034,10000
DoubleLinkedListWithTail,Insert,Beginning,0.000001,10000
DoubleLinkedListWithTail,Insert,Middle,0.000015,10000
DoubleLinkedListWithTail,Insert,End,0.000001,10000
DoubleLinkedListWithTail,Delete,Beginning,0.000001,10000
DoubleLinkedListWithTail,Delete,Middle,0.000015,10000
DoubleLinkedListWithTail,Delete,End,0.000001,10000
DoubleLinkedListWithTail,Search,N/A,0.000034,10000
